Condition,Response
Absent,no
Absent,yes
Present,yes
Absent,no
Present,yes
Present,yes
Present,no
Present,no
Present,yes
Absent,yes
Absent,no
Present,no
Absent,yes
Present,no
Present,no
Present,no
Present,yes
Present,yes
Absent,yes
Absent,no
Present,yes
Absent,no
Present,no
Present,yes
Present,no
Present,no
Present,yes
Present,yes
Present,yes
Present,no
Absent,no
Absent,no
Absent,yes
Present,yes
Absent,no
Present,yes
Present,yes
Present,no
Present,no
Present,yes
Absent,yes
Absent,no
Present,no
Absent,yes
Present,no
Present,no
Present,no
Present,yes
Present,yes
Absent,yes
Absent,no
Present,yes
Absent,no
Present,no
Present,yes
Present,no
Present,no
Present,yes
Present,yes
Present,yes
Present,no
Absent,no
,
