GMT_timestamp,local_timestamp,link,calibration,id,,,,,,,,,,,,,,
2020-07-26_22:28:43,2020-07-27_10:28:43,https://www.testable.org/experiment/2590/264248/start,0.9,ella,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,test,type,trialNo,stim1,stimFormat,condition1,random,keyboard,key,ITI,counterTrial,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
51,motion_coherence,test,44,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,103704,right,1409,0
74,motion_coherence,test,67,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,106450,right,1385,1
58,motion_coherence,test,51,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,108904,right,1431,1
30,motion_coherence,test,23,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,111248,left,1011,0
39,motion_coherence,test,32,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,113792,right,1202,0
48,motion_coherence,test,41,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,116784,left,1658,1
46,motion_coherence,test,39,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,118672,right,854,1
65,motion_coherence,test,58,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,120968,left,953,1
59,motion_coherence,test,52,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,123504,right,1188,1
33,motion_coherence,test,26,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,125584,left,1060,1
61,motion_coherence,test,54,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,128346,left,1422,0
83,motion_coherence,test,76,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,130720,left,1338,1
68,motion_coherence,test,61,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,133224,right,1151,0
72,motion_coherence,test,65,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,136082,right,1520,1
23,motion_coherence,test,16,left_04,.mp4,0.04,1,"left right",left,1000,1,1001,60,16.68,138216,right,1109,0
54,motion_coherence,test,47,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,140240,left,684,1
66,motion_coherence,test,59,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,142392,right,821,0
50,motion_coherence,test,43,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,144904,left,1492,1
79,motion_coherence,test,72,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,147320,right,1078,1
28,motion_coherence,test,21,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,149634,right,971,1
64,motion_coherence,test,57,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,152208,left,1553,1
80,motion_coherence,test,73,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,154706,left,1468,1
36,motion_coherence,test,29,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,156656,right,930,0
