{quit}	C-x C-c
{save}	C-x C-s
{open, open file, file, create file}	C-x C-f
{directory, create directory, create dir, dir}	+ ;; once you are in the directory view
{switch, switch buffer}	C-x b <buffer name or RET>, C-x <left>, C-x <right>
{close buffer}	C-x k
{exec, execute command, run command}	M-x
{new line}	C-m, C-o ;; C-o will insert a new line after cursor
{find, search}	M-s w <word/search term>, C-s <word/search term> ;; C-s will take you to the word; do C-s again to take you to the next instance
{goto, line, go to line}	M-g M-g <line number>
{undo}	C-x u, C-/
{move}	Type "move left", "move right", "move up", and "move down"
{move left}	C-b
{move right}	C-f
{move up}	C-p
{move down}	C-n
{start of line, sol}	M-a
{end of line, eol}	M-e
{start of sentence}	M-a
{end of sentence}	M-e
{start of paragraph}	M-{
{end of paragraph}	M-}
{forward word}	M-f
{back word}	M-b
{goto character, goto char, char, character}	M-g c <char number on line>
{help}	C-h C-h
{hello}	C-h h
{tutorial}	C-h t
{mode}	C-h m
{manual}	C-h i m emacs
{start, sof, start of file}	C-x [
{eof, end, end of file}	C-x ]
{forward delete, forward kill character, forward kill}	C-d, M-d
{forward kill line, forward delete line}	C-k
{delete blank, delete blank lines, delete all but one consecutive blank lines}	C-x C-o
{delete word behind}	M-BCKSPCE
{mark par, mark paragraph}	M-h
{cancel, stop, cancel command}	C-g
{set mark, mark}	C-SPC
{exchange mark, exchange mark and point}	C-x C-x
{mark buffer}	C-x h
{transpose, transpose characters, switch characters}	C-t
{indent region}	C-M-\
{indent}	C-x tab
{unindent region, un-indent region, undent region, unindent, un-indent, undent}	C-u -4 C-x TAB
{comment, toggle comment region}	M-/
{toggle comment region}	M-;
{move rest of line vertically down, move line remaining}	C-M-o
{upper, uppercase, uppercase rest of word}	M-u
{lower, lowercase, lowercase rest of word}	M-u
{cut, cut mark, delete}	C-w
{copy, copy mark}	M-w
{paste, paste mark}	C-y
{replace, find and replace, find replace, find and replace mark, regex}	M-% ;; `C-M-%` will replace within a region ;; `M-x replace-regexp` will replace within a region using regex
{transpose words, switch words}	M-t
{transpose lines, transpose current line with above}	C-x C-t
{spellcheck, spell check}	M-$
{page down}	C-v
{page up}	M-v
{center, center page, centre page}	C-l
{shell, command, command line, bash, zsh}	M-x shell ;; I don't know how to switch buffers back!
{split, split screen}	M-x find-file-other-window, M-x split-window-vertically, M-x split-window-horizontally, M-x other-window, M-x select-window ;; https://stackoverflow.com/questions/50005734/
{kill buffer, close window}	C-x 0
{move up lines, move down lines} C-u 3 C-p|C-n ;; go up|down 3 lines
